اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
تحت السلاح,1940,nan,-,امين فتاه اسر عريق تقرر العاءله زواج ٱبن عم حكيم حفاظ ثروه زواج فرض عاش غريب مر سنه حرب اصاب عادل ٱبن حمي نقل مستشفي زار والد قابل ضابط خالد بهر جمال عرف زوجه صديق حكيم شك حكيم علاقه امين خالد دبر مءامره ٱنتقام تاكد نقاء اخلاص,"أحمد علام,زوزو شكيب,عباس فارس,محمد الديب,زينات صدقي,علي رشدي,فتحي الصافوري,بديعة صادق",nan,ألفيزى اورفانيللى,nan,nan,nan,nan,nan,فؤاد الجزايرلي,nan
صرخة في الليل,1940,nan,110,حفظ زوجه ساقطه شرف زوج ثري ٱرتبط علاقه شاءنه رجل فاسق زوج جوله اخذ عشيق عزبه ٱكتشف خادم امر خيانه لٰكن اعلن ادار عزبه ناظر ربط زوج علاقه قوي خشي زوجه,"بدر لاما,رجاء عبده,سميحة سميح,بشارة واكيم,منسى فهمي,فاخر فاخر",السيد زيادة,كوندور فيلم,إبراهيم شيبا,"بدر لاما,ألبير نجيب",محروس زيادة,nan,"فريد غصن,يوسف صالح",إبراهيم لاما,منتخبات بهنا فيلم
أصحاب العقول,1940,nan,-,كتب مستكشف اوربي صديق حمدي قبر مومياء ضاحيه اسكندري ٱكتشف دعا حمدي حضور زوجه عض صاحب راي صديق حمدي ضيف رقم تشاءم اوربي طلب خدم منزل تمثيل دور سلطان بلد خيال مضي ساعه حتي حلم درج ريح مكتشف ٱكتشف جرام زوجه سلطان سلطان خيال ظرف طمع زوجه اقنع حب زوجه,"بهيجة المهدي,بشارة واكيم,فوزي منيب,سليمان نجيب",nan,افلام وادى النيل (فهمي داود وشركاه),ألفيزى اورفانيللى,nan,nan,nan,nan,ألفيزى اورفانيللى,nan
فتاة متمردة,1940,nan,110,دري طالب مدرسه داخلي ربط علاقه حب شاب وسيم احب خاصم فعل عربده سهر صاله ٱرتاد قرر زواج بدايه حياه ٱستقامه تقدم ام ٱكتشف راقص غانيه ملهي راءد فاجا ذٰلك حتي دري ام شيءا هرب شاب موقف عصيب تحطم قلب دري راق اصاب ام شلل متاثر حدث ٱبنه سبب عاني شاب مرض راق دري تاثر حدث ٱستمر مرض ام دري ٱحتاج مال لجا ملهي ليلي عمل ام عاجز عمل راقص ٱستطاع انفق ام دري مرض تالم راق عمل عرف سبيل لاسعاد قلب مريض مات ام كثير حدث ماسوي حاز دري حزن شديد عمل ملهي عمل خياط حتي ٱستطاع عيش عرف اسي ملهي ٱضطر عمل حاجه مرض ام ٱلتقي جديد حب شفي حزن قلب تزوج,"ماري كويني,محسن سرحان,أنور وجدي,عباس فارس,بديعة مصابني,ثريا فخري,يوسف صالح,بشارة واكيم,زوزو شمس الدين,فؤاد المصرى,إبراهيم مصطفى,آسيا داغر",أحمد جلال,لوتس فيلم (آسيا وشركاها),"عبدالمنعم صبحى,توليو كيارينى",ماري كويني,nan,nan,"يوسف صالح,عبدالعزيز سلام,فريد غصن,ماري كويني,شمس الدين,أمين صدقي","أحمد جلال,محمد زكى محمود",منتخبات بهنا فيلم
رجل بين امراتين,1940,nan,95,عرف راف رسام امال عبد شافي ٱصطاد حدد موعد موعد محدد ٱنتظر راف امال قادم متلهف وصل خطوه صدم سياره تمكن راف رءيه لذيذ تحرك مكان دري امال مصاب اخطا ٱتهم غدر اهمال عاش جحيم الياس مستشفي ٱقترح صديق راف اوحي زميل ثري ساعد حتي نسي حب امال عطف ثري احب نسي امال خرج امال مستشفي شرح طبيب مربي صدمه عمود قريه سبب امل مرض سل راف ثري عود حياه زوج امال راف عمل موعد شرح حدث راف حب مال صراع ثري امل ٱلتقي راف امل اخبر خطبه عرف حقيقه مرض مربي اراد ذٰلك خبر سبب شقاء راف زال حزن سوي ٱندفاع شرب خمر اهمال ٱلتقي مصادفه ٱعترف امال مرض قطع امل شفاء فعل شفاء تزوج,"بدر لاما,أمينة رزق,بدرية رأفت,فردوس محمد,عبدالمجيد شكري,سامي نعمان,محمود المليجي,ثريا فخري,سامى نعسان,زوزو شمس الدين,احمد عبدالله",السيد زيادة,كوندور فيلم,عبدالله الشيب,"ألبير نجيب,بدر لاما","ستوديو لاما,محروس زيادة",nan,"يوسف صالح,سامي نعسان,أمينة رزق,بدر لاما,زوزو شمس الدين,فريد غصن",إبراهيم لاما,منتخبات بهنا فيلم
عاصفة على الريف,1941,nan,110,ملخص,"يوسف وهبي,أمينة رزق,راقية إبراهيم,زوزو نبيل,حسين رياض,فاخر فاخر,محمود المليجي,عبدالعزيز خليل,مختار عثمان,حسن البارودي","بديع خيري,أحمد بدرخان,يوسف وهبي",nan,فرانسوا فاراكاش,ألبير نجيب,ولي الدين سامح,nan,"يوسف صالح,زكريا أحمد",أحمد بدرخان,ستوديو مصر
عريس من استنبول,1941,nan,115,طلب جد فاروق باشا حفيد محسن تزوج ٱبن عم سميره عاش مصر حرم ميراث محسن مضض اتي مصر صحبه والد شجع زواج ضاع ميراث فتاه هٰذا زيجه رفض راوند محسن اوصي خادم حكمت ٱنتحال شخص ٱختبر عريس استنبولي فعل محسن شيء تبادل وساءقه راشد دور تحدث موقف هزلي ضاحك ملابسه ٱختلاط شخص عرف الساءق مزيف خادم مزيف تحاب قابل والد فتاه زوجه وخي متوفي وقع جرام اخير عشق الساءق حقيقي راشد خادم حقيقي حكمت نهايه وصل جد كشف الحقاءق اصر تنفيذ شرطه حرم ميراث وافق حدث زواج جماعي الساءق خادم عم زوجه وخي متوفي عريس استنبولي عروس مصري نظر فاطمه وماريكا وراشيل,"يوسف وهبي,راقية إبراهيم,بشارة واكيم,مختار عثمان,محمود المليجي,فاخر فاخر,فيكتوريا حبيقة,حسين إبراهيم,لطفية نظمي,عبدالغني السيد,محمد الكحلاوي,حياة محمد,ببا إبراهيم,لطفي الحكيم,فتحية علي,زكي إبراهيم",يوسف وهبي,نحّاس فيلم,"سام بريل,عبدالحليم نصر",nan,ستوديو وهبى,nan,nan,"يوسف وهبي,أحمد كامل مرسي,عبدالسلام النابلسي",nan
إلى الأبد,1941,nan,110,ٱلتقي محسن ثري منافس دود عاصم انشا مشاده كلام افقد محسن ممرض فقير سنيه اسعاف شعر بالامتنان ربط حب قدم هديه قرر زواج شعر كوثر هانم تقرر افساد زيجه ساعد عاصم ايهام محسن وجود علاقه عاصم سنه دب خلاف زوج ٱعتقد محسن خان,"فاطمة رشدي,سليمان نجيب,راقية إبراهيم,زوزو حمدي الحكيم,عباس فارس,زكي رستم,عبدالعزيز خليل,فردوس محمد,ماري منيب,محمود رضا,حسن كامل,محمد عطيه,صفا الجميل (صفا محمد),عزيز عيد","كمال سليم,سليمان نجيب,بديع خيري",nan,فرنسوا فاركاش,كمال الشيخ,ولي الدين سامح,nan,nan,كمال سليم,ستوديو مصر
امرأة خطرة,1941,دراما,-,ملخص,"آسيا داغر,حسين صدقي,عباس فارس,روحية خالد,زينب صدقي,ليلى حلمى",nan,nan,nan,nan,nan,nan,nan,nan,منتخبات بهنا فيلم
مصنع الزوجات,1941,nan,115,حاول فاضل عاطل زميل عزيز حمدي شق طريق حياه حمل شهاده اعلي حظ اكل مسعي نجاح زار فاضل عم علوي ادار معهد خاص بنت طريق تقليدي طلب عمل معهد لٰكن رفض قرر تاسيس معهد حديث اشبه معهد عم منافس تعليم فتاه عصر لٰكن فشل فاضل عم نجح اداره معهد افاد وكيل معهد ٱعترض اداره حديث سميره تعضيد حمدي ساعد ٱشتد صراع قديم حديث,"كوكا,محمود ذو الفقار,دولت أبيض,أنور وجدي,عبدالفتاح القصري,إحسان الجزايرلي,عبدالعزيز خليل,فؤاد فهيم,ماري منيب,عبدالوارث عسر,ليلى فوزي,ثريا حلمي,أمينة نور الدين,محمد توفيق,عبدالعزيز أحمد,زوزو نبيل,إسماعيل يس,سعاد أحمد,محمد أمين,جمالات زايد,محمد إدريس,شهرزاد","نيازي مصطفى,فهيم حبشي,بديع خيري","عبدالفتاح حسن,ستوديو مصر","محمد عبدالعظيم,ستوديو مصر","نيازي مصطفى,جلال مصطفى","ولي الدين سامح,أنطوان بوليزويس",nan,"محمد حسن الشجاعي,زكريا أحمد,رياض السنباطي,محمود الشريف,عزت الجاهلي,محمد الكحلاوي,إبراهيم حسن,عبدالحليم نويرة,حليم الرومي,بديع خيري,عزيز صادق,إبراهيم حجاج","نيازي مصطفى,إبراهيم عمارة",ستوديو مصر
صلاح الدين الأيوبي,1941,nan,115,عقد مسلم والصليبيون هدنه ثني مرض ريتشارد قلب اسد ٱنتهز شب عرب فرصه ٱنضمام جيش اورشليم هءلاء سيف دين اخفي هوي عرف امير خالد ٱتجه شاب قدس ٱكتسب ثقه سلطان كلف بالس,"بدر لاما,بدرية رأفت,منسى فهمي,بشارة واكيم,محمود المليجي,أنور وجدي,حسن حلمي,عز الدين الترجمان, حليم الرومي,سيد نصير,حمدى مصطفى,ثريا فخري,يوسف صالح,إبراهيم عبده,فوزية أحمد,فاخر فاخر, فؤاد يوسف,صفية حلمي,حليم,سمير عبدالله لاما,احمد صادق",السيد زيادة,"كوندروفيلم,ستوديو لاما","إبراهيم شيب,جورج سعد","بدر لاما,ألبير نجيب","بدر عبدالله,محمد كمال الدين",فيفى أحمد,"حليم الرومي,سامى نعسان,محمود الشريف,فريد غصن,يوسف صالح",إبراهيم لاما,منتخبات بهنا فيلم
ليلى بنت الريف,1941,nan,115,سافر سطا عبدالرحمن صاحب ورشه ميكانزم زميل رحله صيد صحراء تارك زوجه زينب ٱبن مصطفي ام طريق هب عاصفه ٱختفي سطا ٱعتقد زوجه مات تولي حسن شقيق سطا امر ورشه ٱستطاع اداره توقف عمل مديون عامل جري حاول زوجه زينب اداره ورشه اتي شاب احمد اصلاح عرب ورشه ٱرتدي ملبس عامل وطد علاقه زوجه معتقد رجل ٱكتشف حقيقه وقع حب عرض زواج ميعاد عقد قرا اظهر سطا امر قرر احمد حياه عمل وطني ٱنضم جيش اضحي حب,"يوسف وهبي,ليلى مراد,بشارة واكيم,زوزو شكيب,أنور وجدي,فردوس محمد,حسن البارودي,تحية كاريوكا,فاخر فاخر,سلوى علام,عبدالسلام النابلسي,سعاد عبده,محمد كامل,لولا صدقي",توجو مزراحي (أحمد المشرقي),nan,"عبدالحليم نصر,ميشيل كروانة",توجو مزراحي (أحمد المشرقي),nan,nan,"زكريا أحمد,محمد حسن اسماعيل,بديع خيري,رياض السنباطي","توجو مزراحي (أحمد المشرقي),أحمد كامل مرسي,ألفريد مزراحي",القومية للتوزيع والتجارة فيلم (طه زعفران طنطاوى)
ابن الصحراء,1942,nan,110,ٱشتهر شيخ معروف حاكم القباءل صحراء حكم عدل رحم شرير حقد حسد ليل تمكن ٱعتقال قوم حكم ولد بدر دين القي تعليم قاهره ذٰلك تمكن هءلاء شرير ٱغتصاب حكم سلم زمام شيخ منصور بطحاء مغامر حاكم حقيقي وراء ستار فرض تاوه ضعيف اهل قبيل حتي ضج اخير بدر دين ٱبن شيخ معروف دراسه ٱستحق تولي شءون قبيل راس بدر دين كره ظهور ضعف تراخي فجاه ظهر رد قبيل فارس غريب مقنع اظهر وقت لزوم قهر شرير نصر ضعيف تقدم بطحاء شرير قتل رفع فارس مجهول لثام وجه سوي بدر دين ٱبن صحراء,"بدر لاما,روحية خالد,إحسان الجزايرلي,مختار عثمان,أنور وجدي,محمود المليجي,حسن كامل,درية أحمد",السيد زيادة,"أفلام لاما المصرية,ستوديو لاما",إبراهيم شيبا,"بدر عبدالله,أحمد إسماعيل",محروس زيادة,nan,"يوسف صالح,سامى نعسان,سامي نعمان","إبراهيم لاما,السيد زيادة",نحّاس فيلم
استوديو مصر,1942,nan,-,فيلم قصير انتاج استديو مصر اظهر عديد نجم سينما ٱرتجال كلمه استديو مصر اهميه مساهمه فعال انتاج كثير فيلم تحدث خاطر وجه كلام جمهور سينما,nan,nan,سليمان نجيب,nan,nan,nan,nan,nan,nan,nan
الشريد,1942,nan,105,قاهره ٱلتقي صديق جمع طفوله عرف اتي وراء يشمق نعمه شقيق محمد صديق حسن وقع شاب حب احب حسن حسن فتاه خطبه شاب اخر صدم حسن صديق جوار تحدث خطيءه حسن حسن نتيجه ولد حسن سعاد كبر سعاد عرف اب مجموع حدث المتشابكه عرف حسن سعاد ٱبنه حقيقي بدا صراع محمد زوج حسن حسن ٱضطر حسن مغادره ضيعه عاش شريد,"آسيا داغر,حسين رياض,زكي رستم,أمينة نور الدين,ثريا فخري,زوزو نبيل,محمد توفيق,سعيد خليل,والمنولوجيست,عباس يونس,سرينا إبراهيم,فيكتوريا حبيقة,أحمد درويش","بيرم التونسي,فتوح نشاطي,هنري بركات",لوتس فيلم (آسيا وشركاها),سام بريل,هنري بركات,nan,nan,زكريا أحمد,هنري بركات,منتخبات بهنا فيلم
بحبح في بغداد,1942,nan,120,عاش سطا بحبح حلاق مدينه بغداد اخبر زباءنه شيخ مخلوف شاهبندر تاجر ٱبن داءم مرض ٱسم قمر دين ٱقترح حضر جاري تدخل بهج سرور قلب فعل ٱشتري والد جاري دعا دور ٱكتشف سبب مرض حب شمس ٱبن قاضي قاضي ٱقترح دور اقنع اب اهدي قاضي قاضي حتي مرسال حب قمر شمس ساعد بحبح عرف قاضي قاضي امر سجن حاول هروب,"فوزي الجزايرلي,حورية محمد,محمود المليجي,سعاد زكي,بشارة واكيم,عبدالعزيز خليل,محمد إدريس,عبدالحليم القلعاوي,عبدالمجيد شكري,محمد الكحلاوي,بترو طنوس,رياض القصبجي,عبدالنبي محمد,أحمد الحداد,محمود لطفي",بديع خيري,nan,مصطفى حسن,nan,nan,nan,nan,حسين فوزي,nan
أحلام الشباب,1942,nan,120,شاو فريد ثري دم حب مغامره سبب عرف جار الهام يتيم عاش بسيوني ليل نافذه بسيوني تحطم ادخل فريد اذهل رد اسر ٱعتذر فريد مريض مرض حركه ثني نوم اصاب جرح ٱضطر اسر ٱستضاف عرف فريد ثني اقام اسر الهام درس بيانو عرض استاذ فن بسيوني فريد عاطل بلا عمل ٱتفق جري معين نظير قيام تدريس الهام حب ملا قلب فريد هام صاله غزاله احمر مكان مختار اعجب راقص بهي مال ادل حب احب تاجر سوري غضبان عيسي بهي احب لٰكن وهم ذٰلك طمع هديه يفاجء غضبان راقص حجر موقف درامي فريد ثار لٰكن وهم بروفه موقف تمثيل فعل تدخل راقص مسرح دفع فريد تغطيه امر ٱشتري فريد بهي مشهد نال اعجاب بسيوني افندي فريد ٱشتغل تمثيل طرد بيت غضبان عيسي فريد بهي عمل اعاده ماء مجري,"فريد الأطرش,تحية كاريوكا,مديحة يسري,فتحية أحمد,ماري منيب,بشارة واكيم,عباس فارس,محمد كمال المصري (شرفنطح),حسن فايق,عبدالفتاح القصري,سيد سليمان,فؤاد فهيم,حسن كامل,نجوى سالم,عبدالحليم مرسى,إسكندر منسي,ببا ناجى,محمد فرج","كمال سليم,يوسف وهبي,بديع خيري",أفلام النيل (جبرائيل تلحمى),"سامى بريل,حسن داهش",كمال الشيخ,nan,nan,فريد الأطرش,"كمال سليم,محمد عبدالجواد",nan
