اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
قلب المرأة,1940,رومانسي,87,دار حدث فيلم خيري فتاه ثري مخطوب ابناء عموم تفقد اسر ثروه ملك تخلي ٱبن عم ٱقترن فتاه اخري بدايه اسر جديد قدم عرف خيري فايز ٱرتبط ٱعتراض العاءله اصل ٱجتماع متواضع كون ٱستطاع تكوين ثروه ٱعتدي,"سليمان نجيب,أمينة رزق,دولت أبيض,عقيلة راتب,سلوى علام,زوزو نبيل,نادية أحمد,نينا زاكى,أنور وجدي,حسن فايق,فاخر فاخر,محمود المليجي,زكي إبراهيم,حسن مختار صقر,عزيزة محمد,مرجريت صفير,مختار عثمان,لطفي الحكيم",توجو مزراحي (أحمد المشرقي),nan,عبدالحليم نصر,nan,nan,nan,nan,توجو مزراحي (أحمد المشرقي),منتخبات بهنا فيلم
الورشة,1940,دراما,105,سافر سطا عبدالرحمن صاحب ورشه ميكانزم زميل رحله صيد صحراء تارك زوجه زينب ٱبن مصطفي ام طريق هب عاصفه ٱختفي سطا ٱعتقد زوجه مات تولي حسن شقيق سطا امر ورشه ٱستطاع اداره توقف عمل مديون عامل جري حاول زوجه زينب اداره ورشه اتي شاب احمد اصلاح عرب ورشه ٱرتدي ملبس عامل وطد علاقه زوجه معتقد رجل ٱكتشف حقيقه وقع حب عرض زواج ميعاد عقد قرا اظهر سطا امر قرر احمد حياه عمل وطني ٱنضم جيش اضحي حب,"عزيزة أمير,محمود ذو الفقار,أنور وجدي,نجمة إبراهيم,عبدالسلام النابلسي,ثريا فخري,عمر وصفى,سرينا إبراهيم,حسن مختار صقر,ممدوح ذو الفقار,إستيفان روستي,عز الدين ذو الفقار","عزيزة أمير,محمود ذو الفقار",إيزيس فيلم,"أرام ماراليان,فيرى فاركاش (فرانسوا فاركاش)",nan,محمد كامل,nan,عبدالحميد عبدالرحمن,إستيفان روستي,منتخبات بهنا فيلم
تحت السلاح,1940,nan,-,امين فتاه اسر عريق تقرر العاءله زواج ٱبن عم حكيم حفاظ ثروه زواج فرض عاش غريب مر سنه حرب اصاب عادل ٱبن حمي نقل مستشفي زار والد قابل ضابط خالد بهر جمال عرف زوجه صديق حكيم شك حكيم علاقه امين خالد دبر مءامره ٱنتقام تاكد نقاء اخلاص,"أحمد علام,زوزو شكيب,عباس فارس,محمد الديب,زينات صدقي,علي رشدي,فتحي الصافوري,بديعة صادق",nan,ألفيزى اورفانيللى,nan,nan,nan,nan,nan,فؤاد الجزايرلي,nan
حياة الظلام,1940,دراما,94,عاءله متوسط حال مكون زوج زوج ٱبن حصل ٱبن اجازه كليه حق اراد ٱبن محامي ٱبن اراد كاتب رواءيا ٱلتف ٱبن صاحب سوء ٱنساق وراء حياه ٱنزلق هوه خان امان تصرف مال اب سرق مصاغ ام سد مطلب عشيق يءدي وفاه ام هجر عشيق افلس اصاب جنون,"ميمي شكيب,محسن سرحان,روحية خالد,فردوس محمد,علية الحبشية,ثريا حلمي,ظريفة,الشيخة عزيزة,فؤاد شفيق,منسى فهمي,أنور وجدي,عبدالفتاح القصري,عبدالمجيد شكري,يحيى نجاتي,مصطفى الجزار,محمد ابراهيم,عباس بدوى,فؤاد فهيم,إدمون تويما,محمد الكحلاوي,عبدة السروجي,حسن بيومي,لولا صدقي,آمال حسين,حسين عيسى","محمود كامل حسن,أحمد بدرخان",محمد جمال الدين رفعت,محمد عبدالعظيم,جمال مدكور,"علي عابد,روبرت شارفنبرج",nan,"بيرم التونسي,عبدالحميد عبدالرحمن,محمد الكحلاوي,عزت الجاهلي","أحمد بدرخان,فريد الجندي",nan
صرخة في الليل,1940,nan,110,حفظ زوجه ساقطه شرف زوج ثري ٱرتبط علاقه شاءنه رجل فاسق زوج جوله اخذ عشيق عزبه ٱكتشف خادم امر خيانه لٰكن اعلن ادار عزبه ناظر ربط زوج علاقه قوي خشي زوجه,"بدر لاما,رجاء عبده,سميحة سميح,بشارة واكيم,منسى فهمي,فاخر فاخر",السيد زيادة,كوندور فيلم,إبراهيم شيبا,"بدر لاما,ألبير نجيب",محروس زيادة,nan,"فريد غصن,يوسف صالح",إبراهيم لاما,منتخبات بهنا فيلم
أصحاب العقول,1940,nan,-,كتب مستكشف اوربي صديق حمدي قبر مومياء ضاحيه اسكندري ٱكتشف دعا حمدي حضور زوجه عض صاحب راي صديق حمدي ضيف رقم تشاءم اوربي طلب خدم منزل تمثيل دور سلطان بلد خيال مضي ساعه حتي حلم درج ريح مكتشف ٱكتشف جرام زوجه سلطان سلطان خيال ظرف طمع زوجه اقنع حب زوجه,"بهيجة المهدي,بشارة واكيم,فوزي منيب,سليمان نجيب",nan,افلام وادى النيل (فهمي داود وشركاه),ألفيزى اورفانيللى,nan,nan,nan,nan,ألفيزى اورفانيللى,nan
الباشمقاول,1940,دراما,85,دار حدث فيلم محامي ممتاز هوه مغازله نساء رغم زواج ٱستمر خيانه زوجه حتي تقرر لاق درس ٱتفاق صديق تظاهر خيانه رجل اخر ٱنطلي حيله ممتاز صدق خيانه زوجه ام درس كفي خيانه,"فوزي الجزايرلي,ميمي شكيب,إحسان الجزايرلي,زوزو شكيب,فردوس محمد,تحية كاريوكا,زكية إبراهيم,مرجريت صفير,إيزابيل,بشارة واكيم,حسن فايق,أحمد الحداد,كيرياكو بيتريدس,حسين عيسى,بير ميسى","بديع خيري,توجو مزراحي (أحمد المشرقي)","توجو مزراحي (أحمد المشرقي),عبدالحميد زكي","محمود نصر,عبدالحليم نصر",nan,nan,nan,فريد غصن,"توجو مزراحي (أحمد المشرقي),إبراهيم حلمي",منتخبات بهنا فيلم
فتاة متمردة,1940,nan,110,دري طالب مدرسه داخلي ربط علاقه حب شاب وسيم احب خاصم فعل عربده سهر صاله ٱرتاد قرر زواج بدايه حياه ٱستقامه تقدم ام ٱكتشف راقص غانيه ملهي راءد فاجا ذٰلك حتي دري ام شيءا هرب شاب موقف عصيب تحطم قلب دري راق اصاب ام شلل متاثر حدث ٱبنه سبب عاني شاب مرض راق دري تاثر حدث ٱستمر مرض ام دري ٱحتاج مال لجا ملهي ليلي عمل ام عاجز عمل راقص ٱستطاع انفق ام دري مرض تالم راق عمل عرف سبيل لاسعاد قلب مريض مات ام كثير حدث ماسوي حاز دري حزن شديد عمل ملهي عمل خياط حتي ٱستطاع عيش عرف اسي ملهي ٱضطر عمل حاجه مرض ام ٱلتقي جديد حب شفي حزن قلب تزوج,"ماري كويني,محسن سرحان,أنور وجدي,عباس فارس,بديعة مصابني,ثريا فخري,يوسف صالح,بشارة واكيم,زوزو شمس الدين,فؤاد المصرى,إبراهيم مصطفى,آسيا داغر",أحمد جلال,لوتس فيلم (آسيا وشركاها),"عبدالمنعم صبحى,توليو كيارينى",ماري كويني,nan,nan,"يوسف صالح,عبدالعزيز سلام,فريد غصن,ماري كويني,شمس الدين,أمين صدقي","أحمد جلال,محمد زكى محمود",منتخبات بهنا فيلم
رجل بين امراتين,1940,nan,95,عرف راف رسام امال عبد شافي ٱصطاد حدد موعد موعد محدد ٱنتظر راف امال قادم متلهف وصل خطوه صدم سياره تمكن راف رءيه لذيذ تحرك مكان دري امال مصاب اخطا ٱتهم غدر اهمال عاش جحيم الياس مستشفي ٱقترح صديق راف اوحي زميل ثري ساعد حتي نسي حب امال عطف ثري احب نسي امال خرج امال مستشفي شرح طبيب مربي صدمه عمود قريه سبب امل مرض سل راف ثري عود حياه زوج امال راف عمل موعد شرح حدث راف حب مال صراع ثري امل ٱلتقي راف امل اخبر خطبه عرف حقيقه مرض مربي اراد ذٰلك خبر سبب شقاء راف زال حزن سوي ٱندفاع شرب خمر اهمال ٱلتقي مصادفه ٱعترف امال مرض قطع امل شفاء فعل شفاء تزوج,"بدر لاما,أمينة رزق,بدرية رأفت,فردوس محمد,عبدالمجيد شكري,سامي نعمان,محمود المليجي,ثريا فخري,سامى نعسان,زوزو شمس الدين,احمد عبدالله",السيد زيادة,كوندور فيلم,عبدالله الشيب,"ألبير نجيب,بدر لاما","ستوديو لاما,محروس زيادة",nan,"يوسف صالح,سامي نعسان,أمينة رزق,بدر لاما,زوزو شمس الدين,فريد غصن",إبراهيم لاما,منتخبات بهنا فيلم
يوم سعيد,1940,رومانسي,125,محمد كمال شاب بسيط هوه موسيقي غناء عطف صاحب بيت سكن ٱلتقي ترامي فتاه احب تبادل مشعر كسر اسطوانه والد ٱعترض علاقه مستند فقر مطرب فشل حاول امين والد وافق صادف وافق ٱحتفال هانم عمل والد فتاه حاول ٱعتذار حفل خطيب ٱبنه سهير فرصه غناء اعجب سيده ثري حاول ثني والد خطبه شاب صلح ٱستمال اغراء مجد شهر وافق وافق ٱستمال تعرض غني حفل اقام عزبه فعل سافر ٱكتشف ٱكتشاف جديد حب توالي حدث,"محمد عبدالوهاب,علوية جميل,فاطمة محجوب,فاتن حمامة,شعبان نجيب,عبدالوارث عسر,فردوس محمد,فؤاد شفيق,إلهام حسين,سميحة سميح,بديعة صادق,أحمد علام,مصطفى راشد,سعيد أبو بكر,أمين وهبة,فردوس حسن,عفيفة إسكندر,عباس فارس","محمد كريم,عبدالوارث عسر,عباس علام",أفلام عبدالوهاب,"محمد عبدالعظيم,جورج بنوا,بريما فيرا,مصطفى حسن",محمد كريم,حسين رستم,nan,"محمد عبدالوهاب,أحمد رامي,عزت الهجين,بشارة الخوري,بيرم التونسي,حسين السيد,أحمد شوقي,أسمهان",محمد كريم,nan
