اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
قلب المرأة,1940,رومانسي,87,دار حدث فيلم خيري فتاه ثري مخطوب ابناء عموم تفقد اسر ثروه ملك تخلي ٱبن عم ٱقترن فتاه اخري بدايه اسر جديد قدم عرف خيري فايز ٱرتبط ٱعتراض العاءله اصل ٱجتماع متواضع كون ٱستطاع تكوين ثروه ٱعتدي,"سليمان نجيب,أمينة رزق,دولت أبيض,عقيلة راتب,سلوى علام,زوزو نبيل,نادية أحمد,نينا زاكى,أنور وجدي,حسن فايق,فاخر فاخر,محمود المليجي,زكي إبراهيم,حسن مختار صقر,عزيزة محمد,مرجريت صفير,مختار عثمان,لطفي الحكيم",توجو مزراحي (أحمد المشرقي),nan,عبدالحليم نصر,nan,nan,nan,nan,توجو مزراحي (أحمد المشرقي),منتخبات بهنا فيلم
الورشة,1940,دراما,105,سافر سطا عبدالرحمن صاحب ورشه ميكانزم زميل رحله صيد صحراء تارك زوجه زينب ٱبن مصطفي ام طريق هب عاصفه ٱختفي سطا ٱعتقد زوجه مات تولي حسن شقيق سطا امر ورشه ٱستطاع اداره توقف عمل مديون عامل جري حاول زوجه زينب اداره ورشه اتي شاب احمد اصلاح عرب ورشه ٱرتدي ملبس عامل وطد علاقه زوجه معتقد رجل ٱكتشف حقيقه وقع حب عرض زواج ميعاد عقد قرا اظهر سطا امر قرر احمد حياه عمل وطني ٱنضم جيش اضحي حب,"عزيزة أمير,محمود ذو الفقار,أنور وجدي,نجمة إبراهيم,عبدالسلام النابلسي,ثريا فخري,عمر وصفى,سرينا إبراهيم,حسن مختار صقر,ممدوح ذو الفقار,إستيفان روستي,عز الدين ذو الفقار","عزيزة أمير,محمود ذو الفقار",إيزيس فيلم,"أرام ماراليان,فيرى فاركاش (فرانسوا فاركاش)",nan,محمد كامل,nan,عبدالحميد عبدالرحمن,إستيفان روستي,منتخبات بهنا فيلم
حياة الظلام,1940,دراما,94,عاءله متوسط حال مكون زوج زوج ٱبن حصل ٱبن اجازه كليه حق اراد ٱبن محامي ٱبن اراد كاتب رواءيا ٱلتف ٱبن صاحب سوء ٱنساق وراء حياه ٱنزلق هوه خان امان تصرف مال اب سرق مصاغ ام سد مطلب عشيق يءدي وفاه ام هجر عشيق افلس اصاب جنون,"ميمي شكيب,محسن سرحان,روحية خالد,فردوس محمد,علية الحبشية,ثريا حلمي,ظريفة,الشيخة عزيزة,فؤاد شفيق,منسى فهمي,أنور وجدي,عبدالفتاح القصري,عبدالمجيد شكري,يحيى نجاتي,مصطفى الجزار,محمد ابراهيم,عباس بدوى,فؤاد فهيم,إدمون تويما,محمد الكحلاوي,عبدة السروجي,حسن بيومي,لولا صدقي,آمال حسين,حسين عيسى","محمود كامل حسن,أحمد بدرخان",محمد جمال الدين رفعت,محمد عبدالعظيم,جمال مدكور,"علي عابد,روبرت شارفنبرج",nan,"بيرم التونسي,عبدالحميد عبدالرحمن,محمد الكحلاوي,عزت الجاهلي","أحمد بدرخان,فريد الجندي",nan
الباشمقاول,1940,دراما,85,دار حدث فيلم محامي ممتاز هوه مغازله نساء رغم زواج ٱستمر خيانه زوجه حتي تقرر لاق درس ٱتفاق صديق تظاهر خيانه رجل اخر ٱنطلي حيله ممتاز صدق خيانه زوجه ام درس كفي خيانه,"فوزي الجزايرلي,ميمي شكيب,إحسان الجزايرلي,زوزو شكيب,فردوس محمد,تحية كاريوكا,زكية إبراهيم,مرجريت صفير,إيزابيل,بشارة واكيم,حسن فايق,أحمد الحداد,كيرياكو بيتريدس,حسين عيسى,بير ميسى","بديع خيري,توجو مزراحي (أحمد المشرقي)","توجو مزراحي (أحمد المشرقي),عبدالحميد زكي","محمود نصر,عبدالحليم نصر",nan,nan,nan,فريد غصن,"توجو مزراحي (أحمد المشرقي),إبراهيم حلمي",منتخبات بهنا فيلم
يوم سعيد,1940,رومانسي,125,محمد كمال شاب بسيط هوه موسيقي غناء عطف صاحب بيت سكن ٱلتقي ترامي فتاه احب تبادل مشعر كسر اسطوانه والد ٱعترض علاقه مستند فقر مطرب فشل حاول امين والد وافق صادف وافق ٱحتفال هانم عمل والد فتاه حاول ٱعتذار حفل خطيب ٱبنه سهير فرصه غناء اعجب سيده ثري حاول ثني والد خطبه شاب صلح ٱستمال اغراء مجد شهر وافق وافق ٱستمال تعرض غني حفل اقام عزبه فعل سافر ٱكتشف ٱكتشاف جديد حب توالي حدث,"محمد عبدالوهاب,علوية جميل,فاطمة محجوب,فاتن حمامة,شعبان نجيب,عبدالوارث عسر,فردوس محمد,فؤاد شفيق,إلهام حسين,سميحة سميح,بديعة صادق,أحمد علام,مصطفى راشد,سعيد أبو بكر,أمين وهبة,فردوس حسن,عفيفة إسكندر,عباس فارس","محمد كريم,عبدالوارث عسر,عباس علام",أفلام عبدالوهاب,"محمد عبدالعظيم,جورج بنوا,بريما فيرا,مصطفى حسن",محمد كريم,حسين رستم,nan,"محمد عبدالوهاب,أحمد رامي,عزت الهجين,بشارة الخوري,بيرم التونسي,حسين السيد,أحمد شوقي,أسمهان",محمد كريم,nan
الفرسان الثلاثة,1941,كوميدي,105,بحبح شيح اقر زميل عمل جريده ٱشترط رءيس تحرير عامر عمل شرط زواج متزوج اخفي زواج فندق حلوان نقاهه ٱلتقي حسن بحث عم عريس ثري بدا نصب شبكه تصاعد حدث,"فوزي الجزايرلي,عقيلة راتب,إحسان الجزايرلي,فردوس محمد,محمد الديب,حسين المليجي,فؤاد شفيق,بشارة واكيم,أحمد الحداد,ألفريد حداد,حسن صالح,حسن راشد,لطفي الحكيم,علي عبدالعال","بديع خيري,توجو مزراحي (أحمد المشرقي)","عبدالحميد زكي,توجو مزراحي (أحمد المشرقي)","عبدالحليم نصر,محمود نصر",nan,"محمد جلال,عبدالحميد السخاوي",nan,nan,"توجو مزراحي (أحمد المشرقي),إبراهيم حلمي",منتخبات بهنا فيلم
ليلى بنت مدارس,1941,دراما,120,دار حدث فيلم يوسف محامي شهير شديد صرامه ٱستقبل قصر ٱبن عم ليلي يتيم انهي دراسه نقل ليلي جو مرح بهج قصر يوسف اقبل حياه وقع حب امر خاءنه حاول ليلي نصح ٱعتقد يوسف ليلي عشيق طرد بيت,"يوسف وهبي,ليلى مراد,ميمي شكيب,محسن سرحان,بشارة واكيم,زكي إبراهيم,عقيلة محمد,محمد كامل",توجو مزراحي (أحمد المشرقي),nan,"عبدالحليم نصر,محمود نصر",توجو مزراحي (أحمد المشرقي),عبدالحميد السخاوي,nan,"زكريا أحمد,محمد القصبجي,بديع خيري,أحمد رامي,رياض السنباطي","توجو مزراحي (أحمد المشرقي),إبراهيم حلمي,ألفريد مزراحي","القومية للتوزيع والتجارة فيلم (طه زعفران طنطاوى),منتخبات بهنا فيلم"
ألف ليلة وليلة,1941,مغامرات,115,صياد دعا عثمان عثر ثني صيد طفل صغير سله عاءمه ٱنتشل رب صيد قبض عثمان ادخل سجن قيام صيد منطقه محرم دخل ٱبن امير اطلاق سراح عثر عثمان قمقم ٱصطاد فتح خرج عفريت يكافء عثمان عصا سحري بلغ ٱبن مرجان خطر داهم انقاذ ٱكتشف حقيقه قصه هوي والد حقيقي,"علي الكسار,عقيلة راتب,حامد مرسي,علي عبدالعال,زكية إبراهيم,رياض القصبجي,لطفي الحكيم,عبدالعزيز الجاهلي,سعاد أحمد,عباس الدالي,عزيزة محمد,علي كامل,زوزو نبيل,توفيق صادق,زكي إبراهيم",توجو مزراحي (أحمد المشرقي),nan,عبدالحليم نصر,nan,nan,nan,nan,توجو مزراحي (أحمد المشرقي),nan
انتصار الشباب,1941,دراما,125,كافح وحيد ملحن شاب فريد اطرش اخت مطرب نادي اسمهان سبيل عثر عمل ملهي مدير بشاره واكيم طرد ٱمتناع نادي مجلس راءد عاني عذاب تشرد وقع نادي حب ثري محيي انور جدي ٱتفق زواج والد علوي جميل عارض وحيد احب فتاه ثري ٱتفق اخ زواج تزوج محيي نادي عابء ام نجح وحيد تقديم الاوبريت حلم اخراج,"أسمهان,فريد الأطرش,أنور وجدي,بشارة واكيم,عبدالسلام النابلسي,علوية جميل,إستيفان روستي,فؤاد شفيق,حسن فايق,حسن كامل,روحية خالد,إدمون تويما,عبدالفتاح القصري,ثريا فخري,عزيز صادق,سامية جمال,جراسيا قاصين,صالحة قاصين,محمود إسماعيل,محمود رضا,لطيفة أمين,عبدالعظيم كامل,عصمت عبدالعليم,ماري منيب,عبدالمنعم إسماعيل,لطفي الحكيم","بديع خيري,أحمد بدرخان,عمر جميعى",أفلام النيل (جبرائيل تلحمى),فرانسوا فاراكاش,"هنري بركات,جمال مدكور","ستوديو نصيبيان,جعفر والى",nan,فريد الأطرش,"أحمد بدرخان,محمد عبدالجواد",أفلام تلحمى (تلحمى اخوان)
سي عمر,1941,كوميدي,120,عمل جابر نجيب ريح موظف عزبه عمر طرد وظيفه ٱكتشف كثير تلاعب تزوير ايراد مصروف عزبه سفر قاهره بحث عمل قاد مصادفه البحته وصول منزل عاءله عمر دفع رد اسر ظن ٱبن عمر الغاءب راوند طويل نظر شابه كبير,"نجيب الريحاني,زوزو شكيب,عبدالفتاح القصري,محمد كمال المصري (شرفنطح),إستيفان روستي,ميمي شكيب,سراج منير,ماري منيب,عبدالعزيز أحمد,عبدالعزيز خليل,حسن كامل,فيكتوريا حبيقة,رشاد حامد,فيوليت صيداوي,بديعة صادق,عبدالعزيز الجاهلي,على عبدالقادر,اجلال زكي,فؤاد الرشيدي,علي عبدالعال,إسكندر منسي,علي كامل,محمد ابراهيم,أحمد شكري,حسن امام ,محمد السباعى","بديع خيري,نجيب الريحاني",nan,"محمد عبدالعظيم,مصطفى حسن,أحمد خورشيد","نيازي مصطفى,جلال مصطفى","روبرت شارفنبرج,علي عابد",nan,"محمد حسن الشجاعي,رياض السنباطي,بديعة صادق,إبراهيم حسين,محمد الكحلاوي","نيازي مصطفى,إبراهيم عمارة",ستوديو مصر
